Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725,390470936,0,0,92.0,0,0,0,0,0,0,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545,323703884,0,0,92.0,0,0,0,0,0,0,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538,601309283,0,0,92.0,0,0,0,0,0,0,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444,2031280633,0,0,85.0,0,0,0,0,0,0,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423,107034922,0,0,88.0,0,0,0,0,0,0,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410,670665438,0,0,83.0,0,0,0,0,0,0,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407,900158751,0,0,86.0,0,0,0,0,0,0,0
Gata Only,Gata Only,Floyymenor,2/2/2024,QZL382406049,8,375,675079153,0,0,92.0,0,0,0,0,0,0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,Music Lab Jpn,6/9/2024,TCJPA2463708,9,355,1653018119,1,15,,0,0,0,0,0,0,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330,90676573,0,0,86.0,0,0,0,0,0,0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322,250080413,0,0,91.0,0,0,0,0,0,0,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320,111155129,2,0,,0,0,0,0,0,0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316,221636195,0,0,92.0,0,0,0,0,0,0,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308,355186436,0,0,88.0,0,0,0,0,0,0,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301,297185,277,0,12.0,0,0,3,0,0,0,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299,925655569,0,0,79.0,0,0,0,0,0,0,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297,395433400,0,0,89.0,0,0,0,0,0,0,0
greedy,greedy,Tate Mcrae,9/14/2023,USRC12301932,18,293,1258569694,0,0,87.0,0,0,0,0,0,0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292,91272461,0,0,86.0,0,0,0,0,0,0,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,3301814535,0,0,87.0,0,0,0,0,0,0,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290,1065399331,0,0,78.0,0,0,0,0,0,0,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281,547882871,0,0,95.0,0,0,0,0,0,0,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,Music Lab Jpn,5/21/2024,TCJPA2445163,23,279,1655575417,10,655,,0,0,0,0,0,0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278,426700979,0,0,86.0,0,0,0,0,0,0,1
Future,Future,Official Sound Studio,1/10/2024,RUA1H2415548,25,277,0,1,2,,0,0,0,0,0,0,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,Wz Beat,5/24/2022,BXWEH2200054,26,268,7382759,0,0,35.0,0,0,0,0,0,0,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid Laroi,7/9/2021,USSM12103949,27,266,3107100349,0,0,78.0,0,0,0,0,0,0,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265,720822868,0,0,71.0,0,0,0,0,0,0,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262,591068364,0,0,87.0,0,0,0,0,0,0,0
Numb / Encore,Papercuts,Jay-Z,4/12/2024,USWB12400678,30,256,1003215671,128,0,,0,0,0,0,0,0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,Love Bgm Jpn,5/14/2024,TCJPA2406007,31,249,1645079292,0,0,,0,0,0,0,0,0,1
SHEESH,BABYMONS7ER,Babymonster,4/1/2024,KRA402400016,32,237,124893397,0,0,82.0,0,0,0,0,0,0,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234,670376179,0,0,83.0,0,0,0,0,0,0,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233,750154960,0,0,79.0,0,0,0,0,0,0,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231,532012790,0,0,,0,0,0,0,0,0,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,479417905,7,0,,0,0,0,0,0,0,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226,311928522,0,0,96.0,0,0,0,0,0,0,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224,775135157,0,0,87.0,0,0,0,0,0,0,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221,759998727,0,0,80.0,0,0,0,0,0,0,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214,3071214106,0,0,71.0,0,0,0,0,0,0,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212,214237645,0,0,92.0,0,0,0,0,0,0,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Sped Up 8282,4/8/2023,KRA252300672,42,211,170970614,0,0,41.0,0,0,0,0,0,0,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209,1658229422,0,0,83.0,0,0,0,0,0,0,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207,1126820069,0,0,82.0,0,0,0,0,0,0,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206,997702304,0,0,86.0,0,0,0,0,0,0,0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205,59314441,0,0,83.0,0,0,0,0,0,0,1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205,493627071,0,0,80.0,0,0,0,0,0,0,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,Music Lab Jpn,5/2/2024,TCJPA2415647,48,204,1655575417,9,85,,0,0,0,0,0,0,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203,304929492,0,0,69.0,0,0,0,0,0,0,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203,1747093405,0,0,74.0,0,0,0,0,0,0,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202,168434320,0,0,86.0,0,0,0,0,0,0,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200,104271,249,0,25.0,0,0,190,0,0,0,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198,1391688322,0,0,77.0,0,0,599,0,0,0,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195,3909458734,0,0,80.0,0,0,0,0,0,0,0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194,55346,42,0,13.0,0,0,0,0,0,0,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,4281468720,0,0,83.0,0,0,0,0,0,0,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192,1337619917,0,0,80.0,0,0,0,0,0,0,1
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190,0,2,0,,0,0,0,0,0,0,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,Music Lab Jpn,4/29/2024,TCJPA2420090,59,190,1655575417,1,3,,0,0,0,0,0,0,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189,1556275789,0,0,74.0,0,0,0,0,0,0,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187,0,2,135,9.0,0,0,0,0,0,0,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),Mitsu Sound,12/31/2023,RUA1H2406425,62,186,1384,2,801,,0,0,0,0,0,0,0
Supernova,Supernova,Aespa,5/13/2024,KRA302400090,63,186,69729033,0,0,81.0,0,0,0,0,0,0,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184,1811990630,0,0,79.0,0,0,0,0,0,0,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),Juvenile,3/29/2024,USCM52400059,65,181,199929812,4,98,,0,0,0,0,0,0,1
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180,584427088,0,0,68.0,0,0,0,0,0,0,0
CARNIVAL,CARNIVAL,Ýý$,2/8/2024,QZ7XS2400012,67,179,466887055,0,0,84.0,0,0,0,0,0,0,1
Kill Bill,SOS,Sza,12/8/2022,USRC12204584,68,177,1873746537,0,0,82.0,0,0,0,0,0,0,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177,891720245,0,0,82.0,0,0,0,0,0,0,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176,46567,252,0,6.0,0,0,0,0,0,0,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175,2996181078,0,0,82.0,0,0,0,0,0,0,0
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174,2045512421,97,0,,0,0,0,0,0,0,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174,946941510,0,0,74.0,0,0,0,0,0,0,0
The Way We Move - Extended Mix,The Way We Move,Powerdress,3/10/2023,UKACT2330463,74,173,7909,38,0,4.0,0,0,0,0,0,0,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170,1010494713,0,0,67.0,0,0,0,0,0,0,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170,1008495696,0,0,75.0,0,0,0,0,0,0,0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168,0,0,0,,0,0,0,0,0,0,0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168,692512930,0,0,78.0,0,0,0,0,0,0,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167,169410711,0,0,90.0,0,0,284,0,0,0,0
TQG,TQG,Karol G,2/23/2023,USUM72222541,80,167,1024381758,0,0,78.0,0,0,0,0,0,0,1
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167,2969999682,0,0,81.0,0,0,0,0,0,0,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167,1500499584,0,0,74.0,0,0,0,0,0,0,1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167,8082,63,0,,0,0,0,0,0,0,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166,1215336974,0,0,74.0,0,0,0,0,0,0,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166,860026452,0,0,80.0,0,0,0,0,0,0,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164,1032225805,0,0,79.0,0,0,0,0,0,0,1
redrum,american dream,21 Savage,1/12/2024,USSM12309164,87,164,428233003,0,0,,0,0,0,0,0,0,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163,1720918065,0,0,73.0,0,0,0,0,0,0,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163,1514239759,0,0,77.0,0,0,0,0,0,0,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162,333202114,0,0,68.0,0,0,0,0,0,0,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161,1563224246,0,0,80.0,0,0,0,0,0,0,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161,1692951462,0,0,78.0,0,0,0,0,0,0,0
Magnetic,SUPER REAL ME,Illit,3/25/2024,USA2P2413259,93,161,255076355,0,0,86.0,0,0,0,0,0,0,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158,275349653,0,0,70.0,0,0,0,0,0,0,1
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155,649404552,0,0,83.0,0,0,0,0,0,0,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,Pinkpantheress,2/3/2023,GBAYE2300015,96,153,851085705,0,0,70.0,0,0,0,0,0,0,1
Snooze,SOS,Sza,12/9/2022,USRC12204591,97,153,1013350808,0,0,84.0,0,0,0,0,0,0,1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153,359803580,0,0,86.0,0,0,0,0,0,0,1
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152,509653100,0,0,,0,0,0,0,0,0,1
Prada,Prada,Cassï¿,8/11/2023,GBCEN2300147,100,152,609699748,0,0,83.0,0,0,0,0,0,0,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,152,5157486,470,0,,0,0,0,0,0,0,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152,242070373,0,0,76.0,0,0,0,0,0,0,0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150,478150858,0,0,78.0,0,0,0,0,0,0,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150,61382407,0,0,43.0,0,0,0,0,0,0,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150,460156070,0,0,77.0,0,0,0,0,0,0,0
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148,251153869,0,0,76.0,0,0,0,0,0,0,0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148,205206688,0,0,84.0,0,0,0,0,0,0,1
Armageddon,Armageddon - The 1st Album,Aespa,5/27/2024,KRA302400093,108,147,32942304,0,0,74.0,0,0,0,0,0,0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146,1911559785,0,0,78.0,0,0,0,0,0,0,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145,2014959725,0,0,70.0,0,0,0,0,0,0,1
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144,168145583,0,0,85.0,0,0,0,0,0,0,0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144,518988585,0,0,80.0,0,0,0,0,0,0,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,JPU902305042,113,144,247399972,0,0,80.0,0,0,0,0,0,0,0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144,5712985,0,0,44.0,0,0,0,0,0,0,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143,3358704125,0,0,79.0,0,0,0,0,0,0,0
Hands,Hands,Dianï¿½,8/1/2022,GBKPL2205333,115,143,126914,8,212,1.0,0,0,33,188,0,0,0
Saturn,Saturn - Single,Sza,2/24/2024,USRC12400216,117,142,343090427,0,0,87.0,0,0,0,0,0,0,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,BXT622400190,118,142,0,0,0,,0,0,0,0,0,0,0
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142,3006226762,0,0,81.0,0,0,0,0,0,0,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141,787155930,0,0,77.0,0,0,0,0,0,0,1
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139,532605345,0,0,81.0,0,0,0,0,0,0,1
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139,292789738,0,0,72.0,0,0,0,0,0,0,1
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138,818858244,0,0,71.0,0,0,0,0,0,0,1
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137,659010786,0,0,86.0,0,0,0,0,0,0,1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,USUG12301493,125,137,3913988,545,0,40.0,0,0,0,0,0,0,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,CA5KR2465999,126,136,126247886,5,0,1.0,0,0,0,0,0,0,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",Onerepublic,5/13/2022,USUM72206227,127,136,1607421145,0,0,83.0,0,0,0,0,0,0,0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,Karol G,8/10/2023,USUG12305253,128,136,438796949,0,0,78.0,0,0,0,0,0,0,0
Drained of Color,Drained of Color,Exhumed,8/30/2022,US2642250302,129,134,158627,635,0,16.0,0,0,9,422,0,0,0
Mood (feat. iann dior),Mood (feat. Iann Dior),24Kgoldn,7/24/2020,USQX92003025,130,133,1867736006,0,0,76.0,0,0,0,0,0,0,1
Dynamite,Dynamite,Bts,8/21/2020,QM7282022872,131,132,1872577908,0,0,74.0,0,0,0,0,0,0,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,Wasteland,12/10/2023,GXBAV2381801,132,130,8327,3,8,,0,0,0,0,0,0,0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129,3427498835,0,0,82.0,0,0,0,0,0,0,0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129,230849195,0,0,64.0,0,0,0,0,0,0,0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129,720720922,0,0,77.0,0,0,0,0,0,0,0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,Dj Moigus,6/22/2023,QZMEQ2306756,136,129,1378494,351,0,34.0,0,0,0,0,0,0,0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,INS182401602,137,129,2827545,62,0,,0,0,0,0,0,0,0
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128,998964097,0,0,18.0,0,0,0,0,0,0,1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½Ï¿,3/1/2024,BCAEW2400001,139,128,37157630,0,0,74.0,0,0,0,0,0,0,0
Back,Back,Lola,8/3/2022,UKQNV2100272,140,128,48428,92,0,3.0,0,0,111,0,0,0,0
People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127,631955547,0,0,74.0,0,0,0,0,0,0,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,ATR981312465,142,127,0,1,47,,0,0,0,0,0,0,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,TCAIA2495220,143,127,94635338,0,0,,0,0,0,0,0,0,1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,UKWLG2400013,144,126,114574238,0,0,84.0,0,0,0,0,0,0,0
Abc,Abc,J Ross,2/14/2023,CLLU22300585,145,126,31867,5,0,1.0,0,0,0,0,0,0,0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126,1721045197,0,0,81.0,0,0,0,0,0,0,0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,Fli:P,4/7/2023,FRX282306294,147,125,8028757,0,0,44.0,0,0,0,0,0,0,0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,USUM72102636,148,125,1612286123,0,0,74.0,0,0,0,0,0,0,1
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124,2607121959,0,0,78.0,0,0,0,0,0,0,0
Lucid Dreams,Lucid Dreams,Juice Wrld,5/4/2018,USUG11800685,150,123,2548389305,0,0,78.0,0,0,0,0,0,0,1
PROVENZA,PROVENZA,Karol G,4/22/2022,USUM72205906,151,123,1185929926,0,0,76.0,0,0,0,0,0,0,0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,USAT22005111,152,123,1325725696,0,0,72.0,0,0,0,0,0,0,1
SPOT!,SPOT!,Zico,4/26/2024,USA2P2421932,153,122,77757035,0,0,81.0,0,0,0,0,0,0,0
Family Matters,Family Matters,Drake,5/3/2024,USUG12402984,154,122,72335127,0,0,86.0,0,0,0,0,0,0,1
Again,Missing,Kurochuu,6/9/2024,CA5KR2466577,155,122,136237285,2,0,2.0,0,0,0,0,0,0,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122,1673557134,0,0,80.0,0,0,0,0,0,0,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121,922010059,0,0,79.0,0,0,0,0,0,0,1
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,IEACJ2300335,158,121,532012790,0,0,85.0,0,0,0,0,0,0,0
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100318,159,120,1754311538,0,0,74.0,0,0,0,0,0,0,0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,Karol G,8/10/2023,USUG12305257,160,120,850810162,0,0,82.0,0,0,0,0,0,0,1
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,USAT22100906,161,120,1312168384,0,0,75.0,0,0,0,0,0,0,0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,Ýýýýýýýýýýýýýýý(Ýýýýýýýýýýýýýýý),1/5/2022,JPKI02118106,162,119,548408,130,0,24.0,0,0,0,0,0,0,0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101245,163,117,2167768056,0,0,79.0,0,0,0,0,0,0,1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900764,164,117,2516804300,0,0,76.0,0,0,0,0,0,0,0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,USUM71911283,165,117,2738293818,0,0,74.0,0,0,0,0,0,0,0
DESPECHï¿,DESPECHï¿,Rosalï¿½,7/28/2022,USSM12207207,166,116,1003487432,0,0,73.0,0,0,0,0,0,0,1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,Dababy,4/17/2020,USUM72007941,167,116,1638836101,0,0,70.0,0,0,0,0,0,0,1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116,372423476,0,0,71.0,0,0,0,0,0,0,0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,USWB12304903,169,116,630373315,0,0,84.0,0,0,0,0,0,0,0
Circles,Circles,Post Malone,8/30/2019,USUM71915699,170,116,2481391466,0,0,80.0,0,0,0,0,0,0,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,DGA062382895,171,115,474590289,0,0,78.0,0,0,0,0,0,0,0
About Damn Time,About Damn Time,Lizzo,4/14/2022,USAT22202139,172,115,847025688,0,0,66.0,0,0,0,0,0,0,1
Closer,Closer,The Chainsmokers,7/29/2016,USQX91601347,173,114,2880536961,0,0,80.0,0,0,0,0,0,0,0
FLOWER,ME,Jisoo,3/31/2023,KRA402300002,174,114,440364356,0,0,70.0,0,0,0,0,0,0,0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364199,175,114,689181455,0,0,83.0,0,0,0,0,0,0,1
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,USUG12306085,176,113,372248119,0,0,,0,0,0,0,0,0,1
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,USSM11706905,177,112,2072182782,0,0,75.0,0,0,0,0,0,0,0
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,USUM72318216,178,112,606124553,0,0,86.0,0,0,0,0,0,0,0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,USUM72208023,179,112,827950825,0,0,73.0,0,0,0,0,0,0,1
Bones,Bones,Imagine Dragons,3/11/2022,USUM72201759,180,112,1227475431,0,0,78.0,0,0,0,0,0,0,0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,USSD12300400,182,111,571366508,0,0,79.0,0,0,0,0,0,0,1
Selfish,Selfish,Justin Timberlake,1/25/2024,USRC12400001,181,111,92932220,0,0,,0,0,0,0,0,0,0
golden hour,golden hour,Jvke,7/15/2022,GBKPL2204171,183,111,1126986320,0,0,73.0,0,0,0,0,0,0,0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,GBAHT2000942,184,111,2074721986,0,0,77.0,0,0,0,0,0,0,0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111,89362910,0,0,84.0,0,0,0,0,0,0,1
